ID,縣市,行政區,鄉鎮村里,中位數,納稅單位,綜合所得總額,平均數,第一分位數,第三分位數,標準差,變異係數
1195,基隆市,七堵區,八德里,463,547,352324,644,304,751,687.43,106.73
1196,基隆市,七堵區,長興里,527,1258,821867,653,334,808,521.37,79.8
1197,基隆市,七堵區,正光里,503,768,508203,662,315,824,605.24,91.46
1198,基隆市,七堵區,永平里,547,668,479688,718,314,935,725.24,100.99
1199,基隆市,七堵區,富民里,555,1268,943763,744,321,927,761.83,102.36
1200,基隆市,七堵區,自強里,495,284,182824,644,327,751,613.39,95.28
1201,基隆市,七堵區,泰安里,530,1373,920386,670,320,860,610.5,91.07
1202,基隆市,七堵區,堵南里,510,705,447418,635,317,828,484.46,76.34
1203,基隆市,七堵區,堵北里,503,1207,755407,626,305,766,533.01,85.17
1204,基隆市,七堵區,六堵里,543,713,529562,743,350,929,631.49,85.02
1205,基隆市,七堵區,友一里,660,640,711066,1111,366,1257,1785.12,160.67
1206,基隆市,七堵區,友二里,452,113,65457,579,289,673,466.4,80.52
1207,基隆市,七堵區,瑪東里,481,66,46953,711,310,803,753.82,105.96
1208,基隆市,七堵區,瑪南里,481,145,86043,593,316,700,496.33,83.64
1209,基隆市,七堵區,瑪西里,442,84,49723,592,293,764,463.05,78.23
1210,基隆市,七堵區,永安里,549,728,527332,724,330,885,690.27,95.29
1211,基隆市,七堵區,百福里,522,2008,1345875,670,320,819,585.72,87.39
1212,基隆市,七堵區,實踐里,505,1242,795276,640,314,794,601.29,93.9
1213,基隆市,七堵區,正明里,540,699,483691,692,314,925,566.05,81.8
1214,基隆市,七堵區,長安里,468,624,381007,611,312,770,522.95,85.65
1215,基隆市,七堵區,其他,281,11,3619,329,238,465,174.92,53.16
1216,基隆市,七堵區,合計,522,15151,10437484,689,320,849,705.95,102.48
8585,澎湖縣,七美鄉,東湖村,432,44,22280,506,293,716,331.85,65.54
8586,澎湖縣,七美鄉,西湖村,370,86,46789,544,165,770,514.13,94.5
8587,澎湖縣,七美鄉,中和村,616,108,79334,735,333,900,608.28,82.81
8588,澎湖縣,七美鄉,平和村,649,57,43037,755,448,1057,457.95,60.65
8589,澎湖縣,七美鄉,南港村,554,203,138722,683,331,884,588.81,86.16
8590,澎湖縣,七美鄉,海豐村,444,58,34857,601,311,793,464.47,77.29
8591,澎湖縣,七美鄉,其他,0,0,0,0,0,0,0,0
8592,澎湖縣,七美鄉,合計,542,556,365019,657,300,875,544.4,82.92
1849,台南市,七股區,後港里,438,96,54893,572,277,694,470.43,82.27
1850,台南市,七股區,大潭里,506,122,71095,583,310,733,406.35,69.73
1851,台南市,七股區,頂山里,426,140,72663,519,285,631,447.48,86.22
1852,台南市,七股區,西寮里,469,62,36444,588,318,704,451.27,76.77
